timestamp,J1,J2,J3,J4
1760798131.050701,-6.000,12.000,18.000,12.000,P1,0
1760798131.755237,-0.560,1.120,1.680,-1.600,P2,0
1760798132.4615223,0.000,0.000,-0.000,-3.000,P3,0
1760798144.5825508,-3.000,0.000,-0.000,-3.000,P4,0
1760798145.2905781,-5.879,0.000,-0.000,-3.000,P5,0
1760798145.9967382,-6.000,0.000,-0.000,-3.000,P6,0
1760798146.9029374,-8.879,0.000,-0.000,-3.000,P7,0
1760798147.6109037,-9.000,0.000,-0.000,-3.000,P8,0
1760798168.1640036,-9.000,-3.000,-0.000,-3.000,P9,1
1760798170.4865556,-9.000,-3.000,2.879,-3.000,P10,1
1760798171.1921272,-9.000,-3.000,5.879,-3.000,P11,1
1760798171.897347,-9.000,-3.000,9.000,-3.000,P12,1
1760798172.601826,-9.000,-3.000,12.000,-3.000,P13,1
1760798174.218413,-9.000,-0.121,12.000,-3.000,P14,1
1760798175.077368,-9.000,5.879,12.000,-3.000,P15,1
1760798175.786357,-9.000,6.000,14.879,-3.000,P16,1
1760798176.495589,-9.000,6.000,18.000,-3.000,P17,1
1760798177.252288,-9.000,6.000,23.879,-3.000,P18,1
1760798177.965301,-9.000,6.000,24.000,-3.000,P19,1
1760798182.906132,-9.000,6.000,26.879,-3.000,P20,0
1760798183.6169627,-9.000,6.000,27.000,-3.000,P21,0
