timestamp,J1,J2,J3,J4
1760798434.1406517,-9.000,6.000,27.000,-3.000,P1,0
1760798439.0921035,-5.800,4.933,17.400,-1.933,P2,0
1760798439.7979574,0.000,3.000,0.000,0.000,P3,0
1760798447.6158092,0.000,6.000,0.000,0.000,P4,1
1760798448.5290072,-2.879,6.000,0.000,0.000,P5,1
1760798449.2414193,-3.000,6.000,0.000,0.000,P6,1
1760798449.9457617,-3.000,6.000,3.000,0.000,P7,1
1760798450.6506903,-3.000,6.000,6.000,0.000,P8,1
1760798451.5052953,-3.000,6.000,11.879,0.000,P9,1
1760798452.4100363,-3.000,6.000,17.879,0.000,P10,1
1760798453.1145325,-3.000,6.000,21.000,0.000,P11,1
1760798458.2924938,-3.000,6.000,23.879,0.000,P12,0
1760798459.0527506,-3.000,3.121,24.000,0.000,P13,0
1760798459.7652183,-3.000,3.000,24.000,0.000,P14,0
1760798461.881673,-3.000,3.000,21.000,0.000,P15,0
1760798462.584422,-3.000,3.000,15.301,0.000,P16,0
1760798463.338177,-3.000,3.000,9.121,0.000,P17,0
1760798464.0449011,-3.000,3.000,9.000,0.000,P18,0
1760798508.0458667,-3.000,3.000,6.000,0.000,P19,1
1760798570.4807687,32.949,21.753,59.419,0.000,P20,1
1760798586.8679338,29.812,20.116,55.019,0.000,P21,0
1760798587.5769951,-2.369,3.329,9.884,0.000,P22,0
1760798588.2858098,-3.000,3.000,9.000,0.000,P23,0
